statecode,population,urban_pop_share,density_per_km2,2018HDI,lit_rate,gdp_capita,health_index,total_covid_cases,april_covid_cases,total_cases_capita,total_cases_cat,population
DL,16787941,97.5,11297,0.75,86.34,19974,49.42,725193,62767,0.043197257,High,16787941
GA,1458545,62.17,394,0.76,87.4,25044,51.9,62304,4265,0.042716543,High,1458545
PY,1247953,68.33,2598,0.74,86.55,12047,49.69,44043,2575,0.035292194,High,1247953
KL,33406061,47.7,859,0.78,93.91,11153,74.01,1167130,42606,0.034937672,High,33406061
MH,112374333,45.22,365,0.7,82.91,10477,63.99,3407231,594265,0.030320367,High,112374333
CH,1055450,97.25,9252,0.78,86.43,17990,63.62,30743,3744,0.02912786,Mid,1055450
AP,49577103,29.47,303,0.65,67.66,8261,65.13,925399,23412,0.018665855,Mid,49577103
KA,61095297,38.67,319,0.68,75.6,11524,61.14,1065218,68286,0.017435352,Mid,61095297
CT,25545198,23.24,189,0.61,71.04,5294,53.36,432768,83589,0.016941266,Mid,25545198
TN,72147030,48.4,555,0.71,80.33,10587,60.41,933427,46761,0.012937844,Mid,72147030
HR,25351462,34.88,573,0.71,76.64,12904,53.51,316869,26081,0.012499042,Low,25351462
AR,1383727,22.94,17,0.66,66.95,7628,46.07,16882,37,0.012200383,Low,1383727
MN,2570390,30.21,122,0.7,79.85,3824,60.6,29495,96,0.011474912,Low,2570390
JK,12267032,26.11,297,0.69,68.74,5021,62.37,138389,7430,0.011281376,Low,12267032
UT,10086292,30.23,189,0.68,79.63,10860,40.2,108811,8401,0.010788008,Low,10086292
SK,610577,25.15,86,0.72,82.2,19543,50.51,6351,116,0.010401636,Low,610577
HP,6864602,10.03,123,0.73,83.78,10006,62.41,69684,6081,0.010151208,Low,6864602
PB,27743338,37.48,551,0.72,76.68,8470,63.01,272770,33038,0.00983191,Low,27743338
TG,35003674,38.88,312,0.67,72.8,11174,59,326766,19389,0.009335192,Low,35003674
TR,3673917,26.17,350,0.66,87.75,6180,46.38,33730,240,0.009180937,Low,3673917
OR,41974219,16.69,269,0.61,73.45,5200,35.97,349560,8644,0.008327969,Low,41974219
AS,31205576,14.1,398,0.61,73.45,4485,48.85,220310,1898,0.007059956,Low,31205576
WB,91276115,31.87,1029,0.64,77.08,5983,57.17,614890,27981,0.006736593,Low,91276115
NL,1978502,28.86,119,0.68,80.11,6387,38.51,12405,65,0.006269895,Low,1978502
GJ,60439692,42.6,308,0.67,79.31,10789,63.52,347490,39797,0.005749367,Low,60439692
RJ,68548437,24.87,201,0.63,67.06,6044,43.1,363789,30644,0.005307036,Low,68548437
ML,2966889,20.07,132,0.66,75.48,4865,55.95,14274,209,0.0048111,Low,2966889
MP,72626809,27.63,236,0.61,70.63,4973,38.39,338143,42634,0.004655898,Low,72626809
MZ,1097206,52.11,52,0.71,91.58,7495,74.97,4612,139,0.004203404,Low,1097206
JH,32988134,24.05,414,0.6,67.63,4154,51.33,137088,12886,0.004155676,Low,32988134
UP,199812341,22.27,828,0.6,69.72,3635,28.61,692006,74821,0.00346328,Low,199812341
BR,104099452,11.29,1102,0.58,63.82,2395,32.11,283228,17702,0.002720744,Low,104099452
